ID,PERMI,  PERMIT_TYPE
1569926,100048719,PERMIT - PORCH CONSTRUCTION
1378485,100049052,PERMIT - ELEVATOR EQUIPMENT
1570383,100049057,PERMIT - RENOVATION/ALTERATION
1570441,100049093,PERMIT - RENOVATION/ALTERATION
1570902,100049427,PERMIT - ELECTRIC WIRING
1571250,100049653,PERMIT - RENOVATION/ALTERATION
1571265,100049664,PERMIT - NEW CONSTRUCTION
1572379,100050262,PERMIT - NEW CONSTRUCTION
1581046,100056040,PERMIT - WRECKING/DEMOLITION
1572410,100050286,PERMIT - RENOVATION/ALTERATION
1572432,100050301,PERMIT - PORCH CONSTRUCTION
1572602,100050444,PERMIT - RENOVATION/ALTERATION
1572642,100050471,PERMIT - PORCH CONSTRUCTION
1573005,100050706,PERMIT - NEW CONSTRUCTION
1573034,100050726,PERMIT - NEW CONSTRUCTION
1573264,100050884,PERMIT - ELEVATOR EQUIPMENT
1573866,100051311,PERMIT - ELECTRIC WIRING
1574210,100051545,PERMIT - EASY PERMIT PROCESS
1574479,100051737,PERMIT - EASY PERMIT PROCESS
1574482,100051740,PERMIT - EASY PERMIT PROCESS
1574483,100051741,PERMIT - EASY PERMIT PROCESS
1574484,100051742, - EASY PERMIT PROCESS
1574485,100051743,PERMIT - EASY PERMIT PROCESS
1574486,100051744,PERMIT - EASY PERMIT PROCESS
1574487,100051745,PERMIT - EASY PERMIT PROCESS
1574488,100051746,PERMIT - EASY PERMIT PROCESS
1574489,100051747,PERMIT - EASY PERMIT PROCESS
1574490,100051748,PERMIT - EASY PERMIT PROCESS
1574491,100051749,PERMIT - EASY PERMIT PROCESS
1574492,100051750,PERMIT - EASY PERMIT PROCESS
1574493,100051751,PERMIT - EASY PERMIT PROCESS
1378485,100051752,PERMIT - EASY PERMIT PROCESS
1582112,100056659,PERMIT - EASY PERMIT PROCESS
1574505,100051761,PERMIT - RENOVATION/ALTERATION
1574625,100051869,PERMIT - ELECTRIC WIRING
1574680,100051922,PERMIT - NEW CONSTRUCTION
1574802,1000e52003,PERMIT - NEW CONSTRUCTION
1574831,100052021,PERMIT - PORCH CONSTRUCTION
1574861,100052050,PERMIT - EASY PERMIT PROCESS
1574951,100052121,PERMIT - ELEVATOR EQUIPMENT
1574957,100052126,PERMIT - ELEVATOR EQUIPMENT
1574987,100052155,PERMIT - ELEVATOR EQUIPMENT
1574989,100052157,PERMIT - ELEVATOR EQUIPMENT
1578232,100054429,PERMIT - EASY PERMIT PROCESS
1575224,100052279,PERMIT - RENOVATION/ALTERATION
1575308,100052350,PERMIT - PORCH CONSTRUCTION
1575545,100052532,PERMIT - EASY PERMIT PROCESS
1575680,100052627,PERMIT - RENOVATION/ALTERATION
1575779,100052710,PERMIT - ELEVATOR EQUIPMENT
1575943,100052828,PERMIT - ELEVATOR EQUIPMENT
